City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,west island,-12.1568,96.8225,24.99,88,40,4.63,CC,1691444828
83,carutapera,-1.195,-46.02,25.45,88,62,3.09,BR,1691444828
84,newman,37.3138,-121.0208,40.59,9,0,4.88,US,1691444828
85,khanty-mansiysk,61.0042,69.0019,15.06,82,1,0.0,RU,1691444828
86,chibuto,-24.6867,33.5306,15.26,92,1,2.25,MZ,1691444828
87,nar'yan-mar,67.6713,53.087,6.41,96,13,3.27,RU,1691444829
88,erenhot,43.6475,111.9767,23.99,45,9,3.68,CN,1691444829
89,vila velha,-20.3297,-40.2925,23.97,85,0,6.69,BR,1691444829
90,jiwani,25.05,61.7417,27.19,86,27,3.83,PK,1691444829
91,vilyuchinsk,52.9306,158.4028,15.15,70,0,3.75,RU,1691444829
92,xuddur,4.1213,43.8894,21.9,76,86,8.36,SO,1691444829
93,grants,35.1473,-107.8514,31.13,16,0,5.66,US,1691444829
94,konstantinovka,49.6167,127.9833,17.13,71,95,1.51,RU,1691444830
95,omuo-ekiti,7.7583,5.7223,21.13,98,100,2.6,NG,1691444830
96,port elizabeth,-33.918,25.5701,15.16,94,0,2.57,ZA,1691444830
97,waingapu,-9.6567,120.2641,23.17,85,3,6.45,ID,1691444830
98,kruisfontein,-34.0033,24.7314,12.16,77,0,2.37,ZA,1691444830
99,egilsstadir,65.2653,-14.3948,8.95,71,0,3.6,IS,1691444830
100,monrovia,6.3005,-10.7969,24.87,89,100,3.84,LR,1691444831
101,makarov,48.6333,142.8,16.81,70,100,1.94,RU,1691444831
102,flying fish cove,-10.4217,105.6791,23.82,94,75,4.63,CX,1691444831
103,south hedland,-20.4089,118.5983,15.96,67,6,3.09,AU,1691444831
104,mata-utu,-13.2816,-176.1745,27.57,75,12,3.34,WF,1691444831
105,doganhisar,38.1463,31.6765,22.05,38,0,0.68,TR,1691444831
106,haiku-pauwela,20.9219,-156.3051,30.09,57,20,13.38,US,1691444832
107,qaqortoq,60.7167,-46.0333,6.02,83,16,2.16,GL,1691444832
108,plastun,44.7561,136.2939,17.57,66,4,2.4,RU,1691444832
109,iskateley,67.6803,53.1512,6.35,96,12,3.25,RU,1691444725
110,mahina,-17.5065,-149.489,28.87,65,20,4.12,PF,1691444832
111,port mathurin,-19.6833,63.4167,22.91,56,12,8.7,MU,1691444832
112,kiiminki,65.1314,25.7974,23.81,39,16,5.64,FI,1691444833
113,ust-nera,64.5667,143.2,10.22,47,97,2.05,RU,1691444833
114,papatowai,-46.5619,169.4708,5.34,82,100,6.54,NZ,1691444833
115,utrik,11.2278,169.8474,28.25,79,74,9.06,MH,1691444833
116,lebu,-37.6167,-73.65,11.05,82,100,2.73,CL,1691444833
117,sakaiminato,35.55,133.2333,28.96,78,40,2.57,JP,1691444833
118,iqaluit,63.7506,-68.5145,12.61,71,20,2.06,CA,1691444834
119,remire-montjoly,4.9167,-52.2667,28.02,83,57,5.14,GF,1691444834
120,gazli,40.1333,63.45,29.71,25,0,3.88,UZ,1691444834
121,rawson,-43.3002,-65.1023,10.92,44,78,10.91,AR,1691444834
122,black point,-34.6187,137.8972,8.74,75,0,4.07,AU,1691444834
123,bodo,67.28,14.405,16.02,92,75,7.2,NO,1691444737
124,klyuchi,52.2667,79.1667,16.62,49,0,1.37,RU,1691444834
125,port alfred,-33.5906,26.891,15.1,94,6,0.45,ZA,1691444835
126,vila franca do campo,37.7167,-25.4333,22.23,84,53,1.96,PT,1691444835
127,uttar char fasson,22.2332,90.7132,26.37,92,100,4.65,BD,1691444835
128,lycksele,64.5954,18.6735,17.46,100,54,0.0,SE,1691444835
129,sabancuy,18.9667,-91.1833,30.93,67,20,5.33,MX,1691444835
130,kaohsiung,22.6163,120.3133,26.97,96,75,1.03,TW,1691444835
131,salekhard,66.53,66.6019,14.66,94,0,2.73,RU,1691444836
132,polna,49.487,15.7188,12.64,30,100,7.26,CZ,1691444836
133,georgetown,5.4112,100.3354,26.96,84,40,1.54,MY,1691444826
134,sao joao da barra,-21.6403,-41.0511,25.05,86,0,8.4,BR,1691444836
135,manaure,11.7751,-72.4445,32.54,56,12,7.02,CO,1691444836
136,kingston,17.997,-76.7936,35.13,65,75,9.77,JM,1691444704
137,galle,6.0367,80.217,26.29,86,99,5.86,LK,1691444837
138,colonia,50.9333,6.95,15.46,79,0,1.54,DE,1691444837
139,monforte de lemos,42.5216,-7.5142,16.63,78,0,0.83,ES,1691444837
140,tazovsky,67.4667,78.7,12.48,80,20,2.63,RU,1691444837
141,college,64.8569,-147.8028,21.78,70,75,4.63,US,1691444837
142,christchurch,-43.5333,172.6333,7.45,83,54,3.6,NZ,1691444459
143,zhanaozen,43.3,52.8,29.63,28,0,5.29,KZ,1691444838
144,nyurba,63.2842,118.3319,16.64,68,8,2.65,RU,1691444838
145,noumea,-22.2763,166.4572,20.56,99,79,5.24,NC,1691444391
146,tan-tan,28.438,-11.1032,21.08,85,6,4.17,MA,1691444838
147,minas de marcona,-15.2119,-75.1103,15.3,71,9,5.7,PE,1691444838
148,cururupu,-1.8283,-44.8683,24.94,88,49,2.26,BR,1691444839
149,bankim,6.083,11.4905,20.1,99,100,0.62,CM,1691444839
150,tiksi,71.6872,128.8694,8.25,61,58,1.74,RU,1691444839
151,tofol,5.3248,163.0078,27.36,79,82,5.01,FM,1691444839
152,santa vitoria do palmar,-33.5189,-53.3681,9.63,71,0,5.07,BR,1691444839
153,cabo san lucas,22.8909,-109.9124,37.56,65,20,6.17,MX,1691444251
154,barcelos,41.5388,-8.6151,25.47,41,0,2.59,PT,1691444737
155,hasaki,35.7333,140.8333,29.06,86,97,3.52,JP,1691444840
156,tralee,52.2704,-9.7026,13.35,94,100,2.11,IE,1691444840
157,penalva,-3.2942,-45.1736,27.81,63,96,1.46,BR,1691444575
158,bawku,11.0616,-0.2417,22.69,90,99,1.95,GH,1691444840
159,awjilah,29.1081,21.2869,26.16,62,4,7.32,LY,1691444840
160,kavaratti,10.5669,72.642,27.92,75,100,8.48,IN,1691444840
161,great bend,38.3645,-98.7648,30.58,49,40,2.06,US,1691444615
162,lospalos,-8.5186,127.0025,18.74,84,34,2.52,TL,1691444841
163,ath thawrah,35.8469,38.5443,27.35,56,0,10.33,SY,1691444841
164,bonthe,7.5264,-12.505,24.6,92,100,3.04,SL,1691444841
165,new norfolk,-42.7826,147.0587,6.51,95,18,1.41,AU,1691444841
166,shurugwi,-19.6702,30.0059,10.34,52,6,1.29,ZW,1691444842
167,masjed soleyman,31.9364,49.3039,34.63,15,0,0.6,IR,1691444842
168,mount gambier,-37.8333,140.7667,4.19,97,13,1.98,AU,1691444842
169,lorengau,-2.0226,147.2712,27.99,72,98,6.42,PG,1691444842
170,pangody,65.85,74.4859,16.68,66,0,3.93,RU,1691444842
171,cabedelo,-6.9811,-34.8339,25.37,85,1,6.35,BR,1691444842
172,ongjin,37.9347,125.3619,23.49,85,51,3.52,KP,1691444842
173,mount isa,-20.7333,139.5,7.87,81,100,0.0,AU,1691444843
174,hawaiian paradise park,19.5933,-154.9731,28.74,76,20,5.14,US,1691444843
175,myingyan,21.4667,95.3833,25.96,82,100,6.91,MM,1691444843
176,tsiombe,-25.3,45.4833,18.33,79,0,1.53,MG,1691444843
177,hamilton,39.1834,-84.5333,25.69,85,75,5.14,US,1691444636
178,crane,31.3974,-102.3501,41.3,13,34,8.77,US,1691444843
179,fale old settlement,-9.3852,-171.2468,28.06,70,7,6.56,TK,1691444844
180,inhambane,-23.865,35.3833,18.52,83,0,3.6,MZ,1691444844
181,magadan,59.5667,150.8,12.52,49,58,3.07,RU,1691444844
182,blankenberge,51.3131,3.1323,16.64,69,80,0.89,BE,1691444844
183,aasiaat,68.7098,-52.8699,4.04,74,16,3.64,GL,1691444844
184,mahibadhoo,3.7833,72.9667,27.53,79,94,4.77,MV,1691444844
185,namibe,-15.1961,12.1522,17.9,88,47,2.2,AO,1691444845
186,nemuro,43.3236,145.575,15.08,98,100,5.69,JP,1691444845
187,sao jose de ribamar,-2.5619,-44.0542,28.21,82,20,5.95,BR,1691444845
188,albany,42.6001,-73.9662,23.86,90,100,1.34,US,1691444789
189,pazin,45.2403,13.9367,16.96,79,5,2.15,HR,1691444845
190,sitka,57.0531,-135.33,17.94,63,100,3.6,US,1691444846
191,port lincoln,-34.7333,135.8667,9.74,77,0,4.11,AU,1691444846
192,yuzhno-kurilsk,44.0306,145.8556,15.1,98,100,4.22,RU,1691444846
193,naze,28.3667,129.4833,25.51,95,100,10.89,JP,1691444846
194,sretensk,52.2453,117.7093,16.31,63,68,0.85,RU,1691444847
195,bim son,20.0781,105.8603,25.26,89,100,2.44,VN,1691444847
196,acarau,-2.8856,-40.12,26.0,79,43,9.32,BR,1691444795
197,portland,45.5234,-122.6762,30.34,51,40,2.68,US,1691444447
198,kedrovyy,56.1667,91.8167,8.26,75,18,0.92,RU,1691444848
199,divinopolis,-20.1389,-44.8839,21.03,32,2,0.96,BR,1691444848
200,rikaze,29.25,88.8833,15.16,61,100,0.59,CN,1691444848
201,port saint john's,-31.6229,29.5448,17.62,85,14,3.77,ZA,1691444848
202,urangan,-25.3,152.9,16.98,81,68,5.82,AU,1691444849
203,stanley,54.868,-1.6985,12.51,83,0,5.14,GB,1691444849
